Date,Fatalities,Aboard,Ground
19 Dec 1929,2,3,0
30 Dec 1929,5,5,0
02 Jan 1930,10,10,0
10 Jan 1930,1,1,0
13 Jan 1930,3,3,0
19 Jan 1930,16,16,0
25 Jan 1930,2,2,0
27 Jan 1930,5,5,0
03 Feb 1930,1,1,0
10 Feb 1930,2,6,0
18 Apr 1930,4,4,0
10 May 1930,3,4,0
05 Jun 1930,1,15,0
07 Jul 1930,5,8,0
10 Jul 1930,5,5,0
21 Jul 1930,6,6,0
22 Aug 1930,10,11,0
11 Sep 1930,2,2,0
25 Sep 1930,3,3,0
05 Oct 1930,48,54,0
06 Oct 1930,8,8,0
12 Oct 1930,4,4,0
13 Oct 1930,3,3,0
28 Oct 1930,3,3,0
30 Oct 1930,1,1,0
30 Oct 1930,3,6,0
07 Nov 1930,1,9,0
18 Nov 1930,3,3,0
09 Dec 1930,4,6,0
08 Jan 1931,2,2,0
22 Jan 1931,1,1,0
08 Feb 1931,3,3,0
20 Feb 1931,2,3,0
24 Feb 1931,1,3,0
21 Mar 1931,8,8,0
31 Mar 1931,8,8,0
14 Apr 1931,2,10,0
05 May 1931,2,2,0
22 May 1931,1,1,0
24 May 1931,1,1,0
07 Jun 1931,4,4,0
11 Jun 1931,2,3,0
13 Jun 1931,4,4,0
12 Jul 1931,2,2,0
14 Jul 1931,2,2,0
21 Jul 1931,1,1,0
24 Jul 1931,7,7,0
09 Aug 1931,6,6,0
14 Sep 1931,1,1,0
15 Sep 1931,6,6,0
16 Sep 1931,4,4,0
06 Oct 1931,3,3,0
14 Oct 1931,3,3,0
05 Nov 1931,5,5,0
13 Nov 1931,3,3,0
23 Nov 1931,1,1,0
24 Nov 1931,3,3,0
26 Nov 1931,1,1,0
05 Dec 1931,2,6,0
06 Dec 1931,5,7,0
09 Dec 1931,2,2,0
31 Dec 1931,4,5,0
21 Jan 1932,1,1,0
29 Jan 1932,8,8,0
01 Feb 1932,5,5,0
02 Feb 1932,1,2,0
02 Feb 1932,1,1,0
27 Feb 1932,3,3,0
08 Mar 1932,3,5,0
19 Mar 1932,7,7,0
21 Mar 1932,1,1,0
29 Mar 1932,3,3,0
31 Mar 1932,1,1,0
21 Apr 1932,1,1,0
16 May 1932,3,3,0
30 May 1932,1,2,0
16 Jul 1932,9,9,0
12 Aug 1932,0,7,0
31 Aug 1932,2,2,0
08 Sep 1932,3,4,0
17 Sep 1932,1,2,0
18 Sep 1932,3,3,0
12 Oct 1932,1,1,0
26 Oct 1932,2,2,0
29 Oct 1932,2,2,0
02 Nov 1932,5,5,0
25 Nov 1932,2,2,0
14 Dec 1932,2,2,0
14 Dec 1932,1,1,0
26 Dec 1932,1,1,0
10 Jan 1933,1,3,0
14 Jan 1933,2,2,0
20 Jan 1933,1,1,0
20 Jan 1933,1,1,0
24 Jan 1933,2,3,0
11 Mar 1933,2,2,0
25 Mar 1933,3,3,11
28 Mar 1933,15,15,0
03 Apr 1933,1,2,0
04 Apr 1933,73,76,0
23 Apr 1933,5,8,0
29 Apr 1933,4,4,0
09 May 1933,6,6,0
04 Jun 1933,1,1,0
11 Jun 1933,9,9,0
18 Jul 1933,6,6,0
29 Aug 1933,5,5,0
12 Sep 1933,8,8,0
10 Oct 1933,10,10,0
31 Oct 1933,2,5,0
09 Nov 1933,4,10,0
10 Nov 1933,0,1,0
20 Nov 1933,8,8,0
21 Nov 1933,14,20,0
24 Nov 1933,2,2,0
11 Dec 1933,6,10,0
14 Dec 1933,5,6,0
30 Dec 1933,10,10,0
15 Jan 1934,14,14,0
20 Jan 1934,2,2,0
23 Feb 1934,8,8,0
26 Feb 1934,1,6,0
06 Mar 1934,4,4,0
10 Mar 1934,5,6,0
22 Mar 1934,3,15,0
10 Apr 1934,3,3,0
09 May 1934,6,6,0
31 May 1934,2,2,0
09 Jun 1934,7,7,0
11 Jun 1934,6,10,0
22 Jun 1934,1,7,0
23 Jun 1934,1,1,0
09 Jul 1934,3,4,0
27 Jul 1934,12,12,0
05 Aug 1934,2,2,0
10 Aug 1934,0,0,0
31 Aug 1934,5,5,0
02 Oct 1934,7,7,0
03 Oct 1934,3,3,0
